VB,VBZ,VBG,VBD,VBN,OR,prefix.class,functional,comments
STRIDE,STRIDES,STRIDING,STRODE,STRIDDEN,STRIDED,,FALSE,
STRIKE,STRIKES,STRIKING,STRUCK,STRUCK,STRIKED,,FALSE,"*”stridden”, really"
STRIVE,STRIVES,STRIVING,STROVE,STRIVEN,STRIVED,,FALSE,
SWEAR,SWEARS,SWEARING,SWORE,SWORN,SWEARED,,FALSE,
SWEEP,SWEEPS,SWEEPING,SWEPT,SWEPT,SWEEPED,,FALSE,
SWIM,SWIMS,SWIMING,SWAM,SWUM,SWIMMED,,FALSE,
SWING,SWINGS,SWINGING,SWUNG,SWUNG,SWINGED,,FALSE,
TAKE,TAKES,TAKING,TOOK,TAKEN,TAKED,TAKE,FALSE,
TEACH,TEACHES,TEACHING,TAUGHT,TAUGHT,TEACHED,,FALSE,
TEAR,TEARS,TEARING,TORE,TORN,TEARED,,FALSE,
TELL,TELLS,TELLING,TOLD,TOLD,TELLED,,FALSE,"but note “teared up”, etc."
THINK,THINKS,THINKING,THOUGHT,THOUGHT,THINKED,,FALSE,
THROW,THROWS,THROWING,THREW,THROWN,THROWED,,FALSE,
UNDERGO,UNDERGOES,UNDERGOING,UNDERWENT,UNDERGONE,UNDERGOED,GO,FALSE,
UNDERSTAND,UNDERSTANDS,UNDERSTANDING,UNDERSTOOD,UNDERSTOOD,UNDERSTANDED,STAND,FALSE,
UPHOLD,UPHOLDS,UPHOLDING,UPHELD,UPHELD,UPHOLDED,HOLD,FALSE,
UPSET,UPSETS,UPSETTING,UPSET,UPSET,UPSETTED,SET,FALSE,
WAKE,WAKES,WAKING,WOKE,WOKEN,WAKED,WAKE,FALSE,
WEAR,WEARS,WEARING,WORE,WORN,WEARED,,FALSE,
WEEP,WEEPS,WEEPING,WEPT,WEPT,WEEPED,,FALSE,
WIN,WINS,WINNING,WON,WON,WINNED,,FALSE,
WITHDRAW,WITHDRAWS,WITHDRAWING,WITHDREW,WITHDRAWN,WITHDRAWED,DRAW,FALSE,
WITHHOLD,WITHHOLDS,WITHHOLDING,WITHHELD,WITHHELD,WITHHOLDED,HOLD,FALSE,
WITHSTAND,WITHSTANDS,WITHSTANDING,WITHSTOOD,WITHSTOOD,WITHSTANDED,STAND,FALSE,
WRITE,WRITES,WRITING,WROTE,WRITTEN,WRITED,,FALSE,
