"corpus","utterance"
"tardif","it does not say neh"
"tardif","what's the doggie say"
"tardif","no"
"tardif","what's that"
"tardif","that's a hammer"
"tardif","what's this"
"tardif","violin"
"tardif","tired of the book"
"tardif","what's that"
"tardif","can you read a book"
"tardif","hmm"
"tardif","comere"
"tardif","comere"
"tardif","no come back"
"tardif","look at shoes"
"tardif","shoes"
"tardif","where's Jesse's shoes"
"tardif","where's Jesse's shoes"
"tardif","there it is"
"tardif","the duck"
"tardif","what's a duck say"
"tardif","what's a duck say"
"tardif","uh"
"tardif","don't touch"
"tardif","no don't touch that"
"tardif","come on"
"tardif","come"
"tardif","you want toys don'tcha"
"tardif","uh oh"
"tardif","uh oh"
"tardif","don't"
"tardif","don't"
"tardif","comere and sit in the chair"
"tardif","what's that"
"tardif","that's a lion"
"tardif","what's a lion say"
"tardif","no"
"tardif","a lion doesn't say neh"
"tardif","a lion says roar"
"tardif","what's a lion say"
"tardif","hmm"
"tardif","you"
"tardif","neh"
"tardif","Jesse"
"tardif","what's a horse say"
"tardif","a cow says"
"tardif","no"
"tardif","a cow says moo"
"tardif","come and sit with mom"
"tardif","you come back here right now"
"tardif","hey"
"tardif","xxx xxx"
"tardif","no"
"tardif","um big boy"
"tardif","here let me scooch you up"
"tardif","there ya go"
"tardif","you don't want to hmm"
"tardif","uh oh"
"tardif","where's the frog"
"tardif","where's the frog"
"tardif","there it is"
"tardif","where is the frog"
"tardif","you just wanna take the book apart"
"tardif","don't take the book apart"
"tardif","huh what's that"
"tardif","where's the cow"
"tardif","here's a motorcycle"
"tardif","what's a motorcycle say"
"tardif","no it doesn't say neh"
"tardif","neh neh neh neh neh"
"tardif","what's"
"tardif","be careful now"
"tardif","look at this Jesse"
"tardif","you like buttons"
"tardif","this has buttons"
"tardif","that beating you up"
"tardif","want this"
"tardif","look here"
"tardif","uh oh"
"tardif","I think you killed the frog"
"tardif","look at this"
"tardif","look over here"
"tardif","what's the frog doing"
"tardif","look at the dinosaur"
"tardif","let go"
"tardif","here push it down"
"tardif","let go"
"tardif","what's this"
"tardif","this is a radio"
"tardif","huh there it goes"
"tardif","watch"
"tardif","that look like your phone"
"tardif","trying to reach this"
"tardif","here turn your chair around so you don't fall off"
"tardif","okay"
"tardif","there ya go"
"tardif","huh what's that"
"tardif","whatcha doing"
"tardif","down here"
"tardif","see with those other things"
"tardif","that's it huh"
"tardif","that doesn't stay down"
"tardif","huh oh"
"tardif","make some music"
"tardif","music"
"tardif","put him down"
"tardif","put him down and let him walk"
"tardif","watch"
"tardif","see he walks"
"tardif","look at this one"
"tardif","look"
"tardif","look"
"tardif","we like that don'tcha"
"tardif","hmm"
"tardif","that noisy"
"tardif","look at the xxx"
"tardif","look right here"
"tardif","do you wanna wind up the frog"
"tardif","there ya go"
"tardif","well you have_to put it down"
"tardif","see"
"tardif","huh"
"tardif","up"
"tardif","look at the frog"
"tardif","look Jesse"
"tardif","look at this"
"tardif","this is a phone"
"tardif","see the phone"
"tardif","comere and look"
"tardif","look at this"
"tardif","look Jess"
"tardif","who is it"
"tardif","huh"
"tardif","hello who is it"
"tardif","hello"
"tardif","who's that"
"tardif","it's for me"
"tardif","thank"
"tardif","hello hi grandma"
"tardif","okay talk to Jesse"
"tardif","talk to grandma"
"tardif","what are you doing"
"tardif","hang up"
"tardif","set it right up there for ya"
"tardif","huh"
"tardif","look at this"
"tardif","look"
"tardif","he has eyes"
"tardif","look at that"
"tardif","what's this"
"tardif","oh"
"tardif","here let's build with it"
"tardif","what do you want me to do with it"
"tardif","that wasn't it huh"
"tardif","whaddaya want"
"tardif","what's that"
"tardif","motorcycle"
"tardif","what's da motorcycle say"
"tardif","vroom vroom"
"tardif","what's that"
"tardif","wanna play"
"tardif","comere"
"tardif","let's build something"
"tardif","come"
"tardif","whaddaya do that for"
"tardif","uh oh"
"tardif","thank"
"tardif","that's a block"
"tardif","what's this"
"tardif","is"
"tardif","you don't want that do you"
"tardif","okay we'll put that one over there"
"tardif","look at this one"
"tardif","no"
"tardif","we'll take the motorcycle"
"tardif","look"
"tardif","mama has the motorcycle"
"tardif","okay ready"
"tardif","vroom vroom"
"tardif","whaddaya think"
"tardif","what's a car do"
"tardif","huh"
"tardif","blue"
"tardif","thank"
"tardif","well thank"
"tardif","I have_to keep it moving"
"tardif","look"
"tardif","let's build a house"
"tardif","build a house"
"tardif","you just want anything built"
"tardif","look Jesse"
"tardif","Jesse"
"tardif","put the car through there"
"tardif","put the car in there"
"tardif","put the car"
"tardif","there ya go"
"tardif","see good job"
"tardif","okay"
"tardif","here comes the motorcycle"
"tardif","uh oh"
"tardif","uh oh"
"tardif","okay I'll take the motorcycle again"
"tardif","here should we try this one again"
"tardif","you don't feel like building today huh"
"tardif","well let's try this again"
"tardif","remember how we did this"
"tardif","look"
"tardif","this"
"tardif","okay I'll play with the motorcycle"
"tardif","here can I fix it"
"tardif","look"
"tardif","you don't like to do patterns today huh"
"tardif","here it is"
"tardif","well those are lights"
"tardif","yeah"
"tardif","this is a new room isn't it"
"tardif","those lights"
"tardif","what's a car do"
"tardif","put it up here Jesse"
"tardif","put it right there"
"tardif","oh good"
"tardif","okay"
"tardif","can you do another one"
"tardif","did you hurt your finger"
"tardif","put another one up there"
"tardif","put the car up there"
"tardif","good job"
"tardif","you like those little cars don't you"
"tardif","hmm"
"tardif","whatcha got"
"tardif","huh"
"tardif","oops"
"tardif","I put the motorcycle down"
"tardif","here comes"
"tardif","huh here comes"
"tardif","where is it"
"tardif","here comes xxx"
"tardif","here comes"
"tardif","here it comes"
"tardif","here it comes"
"tardif","here it comes here it comes yeah"
"tardif","okay here it comes"
"tardif","here it comes this way"
"tardif","here it comes"
"tardif","here it comes"
"tardif","here it comes"
"tardif","here it comes"
"tardif","you're such a ticklish little guy"
"tardif","hmm I don't think that's going to stay on top of the round one"
"tardif","is it"
"tardif","you want me to do it again hmm"
"tardif","Jesse do it"
"tardif","here Jesse do it"
"tardif","Jesse do it"
"tardif","that was the best part was"
"tardif","me to do it"
"tardif","here Jesse do it"
"tardif","do it on mama"
"tardif","run it on mama's hand"
"tardif","like this"
"tardif","oh you don't like that"
"tardif","you want on you"
"tardif","don't you"
"tardif","hmm"
"tardif","do it with car"
"tardif","lemme see the car"
"tardif","can I have the car"
"tardif","mom have the car"
"tardif","no"
"tardif","huh"
"tardif","go get it"
"tardif","you like this table don't you"
"tardif","hmm"
"tardif","why don't you sit at the table"
"tardif","like a big boy"
"tardif","block"
"tardif","where's the red one"
"tardif","you what red is"
"tardif","where is the red block"
"tardif","where is it"
"tardif","huh what's that"
"tardif","what is that"
"tardif","that looks like a bunny"
"tardif","what's a bunny do"
"tardif","no the bunny doesn't go on the floor"
"tardif","the bunny goes hop hop hop hop"
"tardif","hop hop hop hop"
"tardif","you wanna play with the motorcycle"
"tardif","huh oh"
"tardif","is that fun"
"tardif","huh"
"tardif","crash where did you learn that from huh"
"tardif","what honey"
"tardif","what sweetheart"
"tardif","what"
"tardif","did somebody talking"
"tardif","hmm"
"tardif","what's"
"tardif","what are these honey"
"tardif","what's that"
"tardif","what honey"
"tardif","you want to read it"
"tardif","okay you can do it"
"tardif","what is in there"
"tardif","can you look at the picture"
"tardif","uh I don't want you to pull that apart though sweetheart okay"
"tardif","that's difficult isn't it"
"tardif","hmm"
"tardif","we can't pull that apart though we don't want it to fall apart"
"tardif","let's go through and see"
"tardif","it's a lion"
"tardif","r what's that"
"tardif","ball that's right what's that"
"tardif","what's that"
"tardif","that's a pan that's what mommy cooks with"
"tardif","a ball that's right"
"tardif","let's look at all of"
"tardif","apple that's right what's this"
"tardif","a pretty blue butterfly"
"tardif","she went back there she'll be back in a little bit"
"tardif","what's this"
"tardif","a"
"tardif","look what's this way down here"
"tardif","his tail that's his tail"
"tardif","look at this sweetie what's this little girl doing"
"tardif","she's laughing with this kitty cat"
"tardif","what's a kitty cat say"
"tardif","mhm is she petting the kitty cat"
"tardif","it's a turtle"
"tardif","turtle"
"tardif","that's what a tiger say grr"
"tardif","it's a little boy that's right"
"tardif","what's that on his wrist"
"tardif","a watch mommy doesn't have her watch on does she"
"tardif","should we look at some more pictures"
"tardif","you wanna look at them"
"tardif","what's that"
"tardif","ribbit ribbit"
"tardif","where you gonna go"
"tardif","you don't want to look at that book"
"tardif","why don't you bring it over here and we'll look at it"
"tardif","how come"
"tardif","you don't want to look at it right now"
"tardif","how come"
"tardif","you wanna look at the pictures with mommy"
"tardif","no"
"tardif","well why don't you bring it back over here on the table"
"tardif","so that when Leah comes back we can give it to her"
"tardif","okay"
"tardif","tha"
"tardif","thank honey"
"tardif","thank sweetheart"
"tardif","so when she comes back we can give it back to her alright"
"tardif","don't fall"
"tardif","want to see if there's anything"
"tardif","oh what is that"
"tardif","you had those on the other day"
"tardif","you and Lauren were playing with them gloves and a hat"
"tardif","whatr you wanna do it by yourself"
"tardif","th yer"
"tardif","what is that"
"tardif","it's your moo"
"tardif","cow"
"tardif","what"
"tardif","it's a car"
"tardif","oh look at that what is that"
"tardif","n a mouse"
"tardif","duck"
"tardif","what's that"
"tardif","big tractor"
"tardif","daddy daddy has a tractor yes he does"
"tardif","you're right he does"
"tardif","daddy's at home"
"tardif","it's a watch"
"tardif","mhm"
"tardif","that's the nnlion again honey"
"tardif","what is this that you and Lind Lauren had on"
"tardif","gloves"
"tardif","where you gonna putchyer book"
"tardif","hmm"
"tardif","what happens when Leah comes back to get the book"
"tardif","should we put it back on our table"
"tardif","no"
"tardif","I think you better go getchyer book honey"
"tardif","mommy read it"
"tardif","okay"
"tardif","mommy will read it thank"
"tardif","oh look it there's a chair too"
"tardif","did we find an apple in here somewhere"
"tardif","where did we see an apple in this book sweetheart"
"tardif","should we look"
"tardif","is that an apple"
"tardif","no who's that"
"tardif","that's a doll like Annie"
"tardif","that's a girl honey"
"tardif","that's not a boy I'll show you a boy thatza boy and thatza boy"
"tardif","okay"
"tardif","mhm"
"tardif","let's find that apple"
"tardif","should we find it"
"tardif","I don't know where"
"tardif","there's a carrot"
"tardif","look it there's a pair of shoes"
"tardif","I know we saw an apple there's that teddy bear"
"tardif","look it there's one two three four things on that page"
"tardif","be careful sweetheart"
"tardif","turn around I don't want you to fall"
