"Corpus","Utterance"
"brent","watch what he's doing baby"
"brent","www"
"brent","you see that"
"brent","see what he's doing"
"brent","he's playing basketball"
"brent","www"
"brent","he's shooting hoops sweetheart"
"brent","yes"
"brent","www"
"brent","what's he doin"
"brent","you remember meeting him when you were little Booboo"
"brent","now he's so big"
"brent","come on sweetheart"
"brent","www"
"brent","you wanna show Chance how big you are"
"brent","you can crawl"
"brent","yeah"
"brent","www"
"brent","oops"
"brent","whoa"
"brent","the mike fell off"
"brent","I wonder when that happened"
"brent","well"
"brent","just discovered the mike had fallen down my shirt"
"brent","great"
"brent","alright let's find some tool in the house"
"brent","oh I know just the tool"
"brent","I know just the tool Milky"
"brent","we'll go clean it out"
"brent","someone called"
"brent","who called"
"brent","this is xxx"
"brent","nope"
"brent","we won't hear it"
"brent","maybe we'll take the stroller with us"
"brent","so that if things get"
"brent","unruly"
"brent","we can put you in the stroller huh"
"brent","I'll just seat you in here while we move over to"
"brent","we'll go to the"
"brent","clean out the beds"
"brent","come on Boobooneen"
"brent","it's okay"
"brent","you okay"
"brent","Booboon"
"brent","there's our towel"
"brent","there we go"
"brent","oh there's that doggie again"
"brent","I hope that guy is gonna go clean it up"
"brent","he's making a poopie in the sidewalk"
"brent","yes"
"brent","let's put these down"
"brent","can crawl on here again like before"
"brent","okay"
"brent","and now I'm gonna go clean out these beds"
"brent","huh"
"brent","th is my tool"
"brent","for cleaning out the beds"
"brent","yes"
"brent","see what I'm doing"
"brent","and Chance has come back over"
"brent","www"
"brent","hi baby"
"brent","Alexander"
"brent","look at the doggie"
"brent","look"
"brent","it's a doggie"
"brent","www"
"brent","look at the doggie Boo"
"brent","www"
"brent","look at the dog sweetheart"
"brent","see it go"
"brent","yes"
"brent","he's gone now"
"brent","there goes the baby"
"brent","there he goes"
"brent","he's got his stroller"
"brent","what are you doing with your stroller Boneen"
"brent","here I'll come around"
"brent","I'll come around"
"brent","uhoh"
"brent","I heard that"
"brent","I heard that"
"brent","see I'm cleaning out the flower beds Booboo"
"brent","this is a tool"
"brent","do you have_to go to the bath sweetheart"
"brent","see"
"brent","I'm pulling these up"
"brent","xxx"
"brent","smells like something's going on"
"brent","oh it's okay"
"brent","it's just the dirt"
"brent","oh no"
"brent","dog poopie"
"brent","well it's not on you"
"brent","thank God"
"brent","let's get out of here"
"brent","come"
"brent","come up"
"brent","let's get away from there"
"brent","that's bogus"
"brent","come on"
"brent","yucky"
"brent","what a cheerful neighborhood"
"brent","here"
"brent","come over here Alexander"
"brent","he's studying it strong"
"brent","baby"
"brent","hello Boobooneen"
"brent","hi"
"brent","oh no baby"
"brent","come"
"brent","no no"
"brent","look out for that poopie"
"brent","here comes the baby"
"brent","here comes the baby"
"brent","hello"
"brent","these are all flowers"
"brent","flowers"
"brent","see"
"brent","they're flowers"
"brent","yes"
"brent","uhoh we're getting into some muddy stuff here"
"brent","let's not get into the muddy stuff"
"brent","we're just cleaning out here sweetheart"
"brent","hello"
"brent","that's a plant"
"brent","yes"
"brent","plants sweetheart"
"brent","there's Chance again"
"brent","remember him"
"brent","yes"
"brent","plants"
"brent","www"
"brent","www"
"brent","that's Chance sweetheart"
"brent","www"
"brent","he's eight"
"brent","Boo Chance is eight"
"brent","he's very big"
"brent","www"
"brent","look at him"
"brent","he's so happy"
"brent","say hi sweetheart"
"brent","Alexander"
"brent","www"
"brent","Alexander"
"brent","here come some big girls too"
"brent","yes"
"brent","here they come"
"brent","www"
"brent","say hi Alexander"
"brent","www"
"brent","say hi sweet pea"
"brent","www"
"brent","don't eat the leaves Booboo"
"brent","say hi sweetheart"
"brent","wave"
"brent","what what he's in"
"brent","say hi sweet"
"brent","oh he's clapping"
"brent","www"
"brent","clap Booboo"
"brent","www"
"brent","say hi sweetheart"
"brent","www"
"brent","that's good"
"brent","these big girls and big boy Chance huh"
"brent","www"
"brent","say hi to these big girls huh"
"brent","www"
"brent","uhoh"
"brent","oh okay"
"brent","oh yeah there's"
"brent","www"
"brent","you remember Chance"
"brent","when we first moved here we met Chance"
"brent","www"
"brent","you gonna stand up Booboo"
"brent","see if he has my han"
"brent","here"
"brent","let's show them how you walk"
"brent","huh"
"brent","come on"
"brent","here we go"
"brent","come on"
"brent","isn't that"
"brent","www"
"brent","you can't play with that sweet"
"brent","www"
"brent","okay baby"
"brent","maybe we're gonna take you in and put some dry clothes on you"
"brent","well anyway"
"brent","www"
"brent","Alexander"
"brent","hello baby"
"brent","are you going for a walk with these guys"
"brent","www"
"brent","www"
"brent","www"
"brent","Alexander did you have fun"
"brent","www"
"brent","are you having fun"
"brent","hello"
"brent","okay"
"brent","www"
"brent","baby"
"brent","www"
"brent","don't you"
"brent","yeah don't put your hands in your mouth"
"brent","www"
"brent","hello"
"brent","look at all these kids"
"brent","this is Whitney"
"brent","this is Nicole"
"brent","and this is Chance but you met Chance before"
"brent","yeah"
"brent","www"
"brent","don't you"
"brent","you gonna show them how you clap"
"brent","clap hands Booboo"
"brent","www"
"brent","that's okay"
"brent","yeah"
"brent","good boy"
"brent","yes he's in a good mood"
"brent","you gonna clap"
"brent","www"
"brent","yes"
"brent","www"
"brent","hi baby"
"brent","www"
"brent","okay sweetheart"
"brent","we're gonna go inside"
"brent","and I'm gonna change your clothes"
"brent","and wash off your hands"
"brent","okay"
"brent","you wanna see the stick"
"brent","this is a stick"
"brent","a stick Booboo"
"brent","thank"
"brent","www"
"brent","look baby"
"brent","are you enjoying it"
"brent","www"
"brent","come on"
"brent","we're gonna get changed Booboo"
"brent","www"
"brent","come here baby"
"brent","come on"
"brent","www"
"brent","here Booboo"
"brent","here we go"
"brent","we're gonna change your clothes"
"brent","yes"
"brent","www"
"brent","yes"
"brent","look at this tummy"
"brent","www"
"brent","it's okay"
"brent","it's okay"
"brent","have you got poopie"
"brent","www"
"brent","xxx"
"brent","it's okay"
"brent","www"
"brent","it's okay good boy"
"brent","who's my good boy"
"brent","my good boy"
"brent","what"
"brent","good boy"
"brent","good boy"
"brent","good boy"
"brent","yeah"
"brent","good boy"
"brent","good boy"
"brent","good baby"
"brent","I'm gonna put your clothes on"
"brent","we're gonna put you in something dry"
"brent","oh no"
"brent","it's okay"
"brent","it's okay"
"brent","we're gonna go for a walk with those guys huh"
"brent","okay"
"brent","there's one"
"brent","www"
"brent","that's for you"
"brent","www"
"brent","hello"
"brent","www"
"brent","yes"
"brent","www"
"brent","no Boobooneen no"
"brent","we gotta get you dressed"
"brent","here we go"
"brent","lie down in here"
"brent","here's your pants"
"brent","one foot"
"brent","good boy"
"brent","and the other foot"
"brent","good boy"
"brent","yes"
"brent","come on"
"brent","up he goes"
"brent","up"
"brent","up"
"brent","what are those guys doing"
"brent","what are they doing"
"brent","where did they go"
"brent","they went up there"
"brent","what's up"
"brent","how's it going sweet pea"
"brent","we'll see"
"brent","fix the suspender"
"brent","okay"
"brent","it's okay Booboon"
"brent","one"
"brent","suspender"
"brent","two suspenders"
"brent","yeah"
"brent","then we do the button"
"brent","and we'll go wash your hand"
"brent","yes"
"brent","we will wash Booboon's hands"
"brent","here we go"
"brent","let's wash your hands"
"brent","here we go"
"brent","with some water"
"brent","wanna wash Boobooneen's hands"
"brent","one"
"brent","two"
"brent","good boy"
"brent","good boy"
"brent","we'll get your shoes"
"brent","here's your shoes"
"brent","it's okay"
"brent","www"
"brent","it's okay"
"brent","let's go say byebye"
"brent","let's go say byebye"
"brent","www"
"brent","okay sweet we're gonna go back outside"
"brent","we're gonna play with those kids"
"brent","okay"
"brent","we'll bring out your farm briefcase"
"brent","we'll bring out your drum"
"brent","and your other drum"
"brent","let's leave a note for Liz"
"brent","Booboo xxx"
"brent","is this a baby so good"
"brent","this is the baby who is so good"
"brent","where's something to give it to her"
"brent","whoopsie"
"brent","okay sweet let's go outside"
"brent","come on"
"brent","you wanna go out the door"
"brent","no no"
"brent","no no"
"brent","we close the door"
"brent","okay"
"brent","let's bring the toys to those kids"
"brent","we can play with them huh"
"brent","pack these things all"
"brent","yeah"
"brent","here we go"
"brent","www"
"brent","okay we're gonna go play with those kids outside"
"brent","yes we are"
"brent","okay"
"brent","www"
"brent","yeah"
"brent","you wanna play on here"
"brent","www"
"brent","come on sweetheart"
"brent","www"
"brent","www"
"brent","Alexander"
"brent","how's this"
"brent","are these your drums"
"brent","here"
"brent","yes"
"brent","xxx"
"brent","www"
"brent","hey Booboo"
"brent","how's this"
"brent","www"
"brent","who's the baby"
"brent","is that you"
"brent","is that you"
"brent","who's the baby"
"brent","www"
"brent","look"
"brent","Chance is drumming and you can drum"
"brent","www"
"brent","www"
"brent","www"
"brent","what's he doing baby"
"brent","www"
"brent","this thing is silly"
"brent","www"
"brent","www"
"brent","I just gotta unsnap this"
"brent","pull it out"
"brent","uhoh"
"brent","what is Mama doing huh"
"brent","whoops"
"brent","www"
"brent","there we go"
"brent","oh you use the clips"
"brent","oops"
"brent","www"
"brent","hi baby"
"brent","okay"
"brent","Alexander"
"brent","www"
"brent","chickie"
"brent","www"
"brent","good boy"
"brent","yes"
"brent","feels good doesn't it"
"brent","yes it does"
"brent","www"
"brent","wha that"
"brent","is that your toy"
"brent","yes he is"
"brent","what's that"
"brent","yes"
"brent","www"
"brent","I found a bean"
"brent","is this a bean for you"
"brent","missed"
"brent","www"
"brent","oh"
"brent","these are beans for you sweetheart"
"brent","now I'm gonna make a big mush"
"brent","make a big mush of all this food"
"brent","is that good"
"brent","is that a good bean"
"brent","is that a good hot bean"
"brent","bean"
"brent","a bean"
"brent","a tasty bean"
"brent","www"
"brent","this looks very good"
"brent","this looks like a very good stew for a baby"
"brent","other babies may not be as lucky"
"brent","to have such a flavorful stew"
"brent","but my son"
"brent","has got a very tasty treat"
"brent","mm"
"brent","a very tasty treat for the Boneen"
"brent","www"
"brent","is this your yummy lunch"
"brent","what a good Bo"
"brent","okay"
"brent","what's this lunchie lunch"
"brent","huh"
"brent","what is this big lunch"
"brent","it's parsnipie_snoops"
"brent","and potatos"
"brent","and celery and carrots"
"brent","all mashed up in a broth"
"brent","with a little bit o chicken in it"
"brent","we're talking very tasty treat for the big boy"
"brent","who is this"
"brent","yum"
"brent","oh you don't want it"
"brent","Boneen"
"brent","how could you not want such a tasty lunch"
"brent","okay"
"brent","you can serve yourself"
"brent","that's the way you wanna be"
"brent","try"
"brent","now don't throw it on the floor"
"brent","Daddy just cleaned the floor"
"brent","mm"
"brent","yum"
"brent","is that good"
"brent","is that good"
"brent","is that good"
"brent","that taste good"
"brent","yes"
"brent","that tastes very good"
"brent","want some more"
"brent","here"
"brent","found the spoon"
"brent","and he's feeding himself"
"brent","oh very smart boy"
"brent","very smart boy"
"brent","what's this"
"brent","come"
"brent","more on the spoon"
"brent","it's very good"
"brent","look who's feeding himself"
"brent","very smart Bo"
"brent","look"
"brent","oh"
"brent","yummy"
"brent","hmm"
"brent","whoopsie"
"brent","it all fell off the spoon"
"brent","let's try again"
"brent","come"
"brent","it all fell off Booboo"
"brent","we can fill it up again"
"brent","come"
"brent","oh oh oh"
"brent","there you go"
"brent","good boy"
"brent","yum"
"brent","goo boy"
"brent","is that good"
"brent","is that good"
"brent","here"
"brent","here have some more"
"brent","oh"
"brent","there you go"
"brent","good boy"
"brent","very good"
"brent","come"
"brent","come"
"brent","that's for you"
"brent","who is so good"
"brent","mm"
"brent","he's feeding himself"
"brent","hey hey hey"
"brent","you took it away too soon"
"brent","there's no food on it little Bo"
"brent","come"
"brent","come"
"brent","there you go"
"brent","yum yum yum yum yum yum yum yum"
"brent","yum yum yum yum yum yum yum"
"brent","come on"
"brent","here we go"
"brent","carrot"
"brent","come on mister carrot"
"brent","there we go"
"brent","good carrot"
"brent","oh yummy"
"brent","it's gonna taste very good"
"brent","come on"
"brent","hang on"
"brent","I didn't get anything on there"
"brent","there you go"
"brent","okay"
"brent","hang on"
"brent","take it away too soon there'll be nothing on it"
"brent","oh no"
"brent","oh no"
"brent","celery on the floor"
"brent","oh no"
"brent","come"
"brent","let's do this"
"brent","oh"
"brent","very good"
"brent","sweet"
"brent","c on"
"brent","hey hey hey"
"brent","lemme try"
"brent","can I have some"
"brent","xxx"
"brent","let's try now"
"brent","here we go"
"brent","little bit on the spoon"
"brent","there you go"
"brent","oh sweetheart"
"brent","come on"
"brent","xxx"
"brent","now we gotta put it in your mouth"
"brent","we don't just throw it all around the room"
"brent","Boneen"
"brent","you didn't get enough to eat"
"brent","I know this"
"brent","is those good"
"brent","that a good bean"
"brent","good boy"
"brent","he took a bite"
"brent","of food"
"brent","here's some more"
"brent","goo boy"
"brent","good boy"
"brent","whoopsie it's on your sweater"
"brent","oh no"
"brent","oh it's so tasty"
"brent","it's so tasty"
"brent","I know you like it"
"brent","it's about as good as it gets huh"
"brent","a yummy broth"
"brent","carrots and parsnips and potatos and celery all in the big broth"
"brent","oh"
"brent","so good"
"brent","yummy"
"brent","he wants to feed himself"
"brent","he you go"
"brent","here"
"brent","yummy yummy yummy yummy yummy"
"brent","someone needed to get their lunch"
"brent","oh"
"brent","here"
"brent","you wanna feed yourself"
"brent","good boy"
"brent","it's very tasty isn't it"
"brent","there's a piece o carrot"
"brent","big piece"
"brent","a big carrot piece"
"brent","uhoh"
"brent","someone's got a cough"
"brent","come here xxx"
"brent","and oops"
"brent","fell off the spoon Mom"
"brent","there we go"
"brent","oh"
"brent","that's a kind of a mixed bite"
