"Corpus","Utterance"
"brown","go where it belongs"
"brown","I don't think you can put it back"
"brown","no that's not part of an apple"
"brown","no it looks like it but it's not part of it"
"brown","it's not part of the apple"
"brown","you didn't have_to make her move"
"brown","careful Adam with that pencil"
"brown","what happened to Adam"
"brown","did somebody spank Adam"
"brown","that's not your tummy back there"
"brown","what is that back there"
"brown","change your diaper"
"brown","that's your back"
"brown","you don't have two tummies"
"brown","your tummy's in front"
"brown","two what"
"brown","whose shoes did you hit"
"brown","Jack and Jill"
"brown","you want to take it over to Ursula"
"brown","don't Adam foot"
"brown","it sounded like"
"brown","marching bear"
"brown","that's tape"
"brown","no that's tape"
"brown","that's a screw"
"brown","Ursula's all set"
"brown","no"
"brown","we leave this down here"
"brown","so it will be out of the way"
"brown","that's not a screw"
"brown","that's just part of the machine"
"brown","well that's a screw"
"brown","get back"
"brown","alright"
"brown","don't you touch then"
"brown","if it's hot won't it burn you"
"brown","find a penny"
"brown","where did you put it"
"brown","put it in your pocket"
"brown","don't touch"
"brown","four what"
"brown","pad"
"brown","do you want a pencil"
"brown","what are you going to write"
"brown","you're going to write Cromer"
"brown","you're using your right hand this morning"
"brown","that's very pretty"
"brown","you're going to write Cromer"
"brown","don't knock it over"
"brown","good morning"
"brown","hurt knee"
"brown","hurt knee"
"brown","you didn't hurt yourself with the screwdriver"
"brown","you can fix the screws in your firetruck"
"brown","put this one here"
"brown","did you tell Ursula what kind of train that is"
"brown","did you tell her the color"
"brown","what kind of truck is it"
"brown","truck broken"
"brown","you put the truck where"
