"filename","corpus","utterance"
"US/Brown/Adam/adam01.xml","brown","build a castle out of"
"US/Brown/Adam/adam01.xml","brown","and pats it carefully with his"
"US/Brown/Adam/adam01.xml","brown","did you read that"
"US/Brown/Adam/adam01.xml","brown","go get it"
"US/Brown/Adam/adam01.xml","brown","go get what"
"US/Brown/Adam/adam01.xml","brown","what am I"
"US/Brown/Adam/adam01.xml","brown","I help to move rocks"
"US/Brown/Adam/adam01.xml","brown","what is this"
"US/Brown/Adam/adam01.xml","brown","what am I"
"US/Brown/Adam/adam01.xml","brown","are you looking at the book"
"US/Brown/Adam/adam01.xml","brown","what is this"
"US/Brown/Adam/adam01.xml","brown","no"
"US/Brown/Adam/adam01.xml","brown","no that's a tape recorder"
"US/Brown/Adam/adam01.xml","brown","yes tape recorder"
"US/Brown/Adam/adam01.xml","brown","read bunny"
"US/Brown/Adam/adam01.xml","brown","can the bunny read"
"US/Brown/Adam/adam01.xml","brown","oh you're going to read to the bunny"
"US/Brown/Adam/adam01.xml","brown","that's a good idea"
"US/Brown/Adam/adam01.xml","brown","you can't write"
"US/Brown/Adam/adam01.xml","brown","he can write but Adam can't write yet"
"US/Brown/Adam/adam01.xml","brown","mosquito"
"US/Brown/Adam/adam01.xml","brown","I'll get you"
"US/Brown/Adam/adam01.xml","brown","poor Perro he was under the pillow"
"US/Brown/Adam/adam01.xml","brown","who's that"
"US/Brown/Adam/adam01.xml","brown","that's little Robin Red Breast"
"US/Brown/Adam/adam01.xml","brown","what's that"
"US/Brown/Adam/adam01.xml","brown","you leave his pencil in there Adam"
"US/Brown/Adam/adam01.xml","brown","look Adam"
"US/Brown/Adam/adam01.xml","brown","here's one"
"US/Brown/Adam/adam01.xml","brown","do you know this one"
"US/Brown/Adam/adam01.xml","brown","now what are you writing"
"US/Brown/Adam/adam01.xml","brown","here"
"US/Brown/Adam/adam01.xml","brown","where's your piece of paper"
"US/Brown/Adam/adam01.xml","brown","who's that"
"US/Brown/Adam/adam01.xml","brown","can you spell your name"
"US/Brown/Adam/adam01.xml","brown","mustn't write on the book"
"US/Brown/Adam/adam01.xml","brown","alright"
"US/Brown/Adam/adam01.xml","brown","now is it nice and clean again"
"US/Brown/Adam/adam01.xml","brown","does your writing look like his"
"US/Brown/Adam/adam01.xml","brown","you tell me"
"US/Brown/Adam/adam01.xml","brown","what are those up there"
"US/Brown/Adam/adam01.xml","brown","don't jump"
"US/Brown/Adam/adam01.xml","brown","he can't write when you jump"
"US/Brown/Adam/adam01.xml","brown","put dirt up"
"US/Brown/Adam/adam01.xml","brown","are you a busy bulldozer"
"US/Brown/Adam/adam01.xml","brown","are you a busy bulldozer"
"US/Brown/Adam/adam01.xml","brown","lollipop"
"US/Brown/Adam/adam01.xml","brown","why do you like to throw your book"
